시군구명,기준년월코드,기준분기코드,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,남성연령대10직장인구수,남성연령대20직장인구수,남성연령대30직장인구수,남성연령대40직장인구수,남성연령대50직장인구수,남성연령대60이상직장인구수,여성연령대10직장인구수,여성연령대20직장인구수,여성연령대30직장인구수,여성연령대40직장인구수,여성연령대50직장인구수,여성연령대60이상직장인구수
광진구,2019,3,21333,13344,7989,54,3148,4603,5521,4657,3350,32,1604,2895,3448,2938,2427,22,1544,1708,2073,1719,923
광진구,2019,4,19092,11690,7402,49,3036,4029,4851,4184,2943,30,1549,2480,2930,2593,2108,19,1487,1549,1921,1591,835
구로구,2015,1,103393,66614,36779,544,22501,37010,23580,12962,6796,314,11267,25528,16243,8513,4749,230,11234,11482,7337,4449,2047
구로구,2015,2,103424,65903,37521,345,20644,36783,24559,13525,7568,185,10016,24851,16821,8727,5303,160,10628,11932,7738,4798,2265
구로구,2015,3,103424,65903,37521,345,20644,36783,24559,13525,7568,185,10016,24851,16821,8727,5303,160,10628,11932,7738,4798,2265
구로구,2015,4,104085,66155,37930,572,22092,35858,24190,13718,7655,310,10899,24366,16406,8751,5423,262,11193,11492,7784,4967,2232
구로구,2016,1,104085,66155,37930,572,22092,35858,24190,13718,7655,310,10899,24366,16406,8751,5423,262,11193,11492,7784,4967,2232
구로구,2016,2,105632,66632,39000,382,20656,35962,25556,14517,8559,225,9850,24128,17310,9156,5963,157,10806,11834,8246,5361,2596
구로구,2016,3,105632,66632,39000,382,20656,35962,25556,14517,8559,225,9850,24128,17310,9156,5963,157,10806,11834,8246,5361,2596
구로구,2016,4,105091,66082,39009,623,21629,34809,25260,14333,8437,343,10495,23357,16948,9095,5844,280,11134,11452,8312,5238,2593
구로구,2017,1,105091,66082,39009,623,21629,34809,25260,14333,8437,343,10495,23357,16948,9095,5844,280,11134,11452,8312,5238,2593
구로구,2017,2,106443,66495,39948,413,20380,34804,26241,15098,9507,212,9703,23107,17622,9352,6499,201,10677,11697,8619,5746,3008
구로구,2017,3,106443,66495,39948,413,20380,34804,26241,15098,9507,212,9703,23107,17622,9352,6499,201,10677,11697,8619,5746,3008
구로구,2017,4,106631,66454,40177,616,21498,33989,26109,14966,9453,349,10398,22666,17408,9214,6419,267,11100,11323,8701,5752,3034
구로구,2018,1,106631,66454,40177,616,21498,33989,26109,14966,9453,349,10398,22666,17408,9214,6419,267,11100,11323,8701,5752,3034
