,시군구명,기준년코드,기준분기코드,점포수
312,성동구,2018,1,208
313,성동구,2018,2,216
314,성동구,2018,3,216
315,성동구,2018,4,213
316,성동구,2019,1,212
317,성동구,2019,2,211
318,성동구,2019,3,207
319,성동구,2019,4,209
320,성북구,2015,1,330
321,성북구,2015,2,328
322,성북구,2015,3,326
323,성북구,2015,4,331
324,성북구,2016,1,334
325,성북구,2016,2,329
326,성북구,2016,3,328
327,성북구,2016,4,327
328,성북구,2017,1,325
329,성북구,2017,2,325
330,성북구,2017,3,323
331,성북구,2017,4,320
332,성북구,2018,1,317
333,성북구,2018,2,318
334,성북구,2018,3,321
335,성북구,2018,4,324
336,성북구,2019,1,316
337,성북구,2019,2,312
338,성북구,2019,3,310
339,성북구,2019,4,315
340,송파구,2015,1,568
341,송파구,2015,2,568
342,송파구,2015,3,584
343,송파구,2015,4,573
344,송파구,2016,1,571
345,송파구,2016,2,563
346,송파구,2016,3,567
347,송파구,2016,4,581
348,송파구,2017,1,582
349,송파구,2017,2,576
350,송파구,2017,3,577
351,송파구,2017,4,574
352,송파구,2018,1,560
353,송파구,2018,2,544
354,송파구,2018,3,538
355,송파구,2018,4,539
356,송파구,2019,1,529
357,송파구,2019,2,532
358,송파구,2019,3,531
359,송파구,2019,4,536
360,양천구,2015,1,648
361,양천구,2015,2,652
362,양천구,2015,3,648
363,양천구,2015,4,652
364,양천구,2016,1,640
365,양천구,2016,2,642
366,양천구,2016,3,643
367,양천구,2016,4,646
368,양천구,2017,1,646
369,양천구,2017,2,648
370,양천구,2017,3,647
371,양천구,2017,4,648
372,양천구,2018,1,630
373,양천구,2018,2,613
374,양천구,2018,3,610
375,양천구,2018,4,605
376,양천구,2019,1,595
377,양천구,2019,2,591
378,양천구,2019,3,597
379,양천구,2019,4,588
380,영등포구,2015,1,366
381,영등포구,2015,2,368
382,영등포구,2015,3,360
383,영등포구,2015,4,350
384,영등포구,2016,1,353
385,영등포구,2016,2,350
386,영등포구,2016,3,349
387,영등포구,2016,4,350
