s,기준년코드,기준분기코드,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,월요일유동인구수,화요일유동인구수,수요일유동인구수,목요일유동인구수,금요일유동인구수,토요일유동인구수,일요일유동인구수
구로구,2019,2,14319869,15231823,3720938,3993388,5038620,4912514,4652509,7233748,4230993,4201179,4231612,4225067,4207314,4170083,4285451
구로구,2019,3,14387494,15305658,3718463,4137721,5074886,4934114,4642945,7185050,4263674,4248810,4264648,4236913,4206981,4179279,4292871
구로구,2019,4,14332119,15169312,3774311,4032643,5016982,4903006,4591886,7182636,4223548,4198527,4192333,4179290,4165896,4208112,4333736
금천구,2015,1,4398947,3892730,357500,1087694,1868525,2107924,1967136,902882,1511174,1477352,1302777,1233986,1091348,892312,782737
금천구,2015,2,4282151,3846086,371337,1035246,1785520,2086324,1989396,860424,1275578,1248766,1296670,1293586,1346888,977264,689499
금천구,2015,3,3746208,3376360,293612,859953,1475879,1855967,1851941,785206,1133447,1126032,1121847,1160964,1172005,832648,575646
금천구,2015,4,3452739,3192195,272102,815981,1373999,1709587,1737432,735857,1091876,1075434,1047109,1041583,1042358,791060,555498
금천구,2016,1,3090898,2880060,205364,704369,1227541,1477830,1591603,764292,956513,895041,935070,967293,1003418,720150,493496
금천구,2016,2,2703135,2584188,221538,570137,1044720,1285228,1416439,749248,837412,773560,845536,905774,866781,622092,436182
금천구,2016,3,2833883,2725064,221730,638353,1107422,1378778,1461680,751006,916548,915750,883810,870112,914798,624833,433100
금천구,2016,4,2430117,2422048,207702,551270,953192,1210281,1271884,657819,771669,773415,773684,770554,811677,567729,383442
금천구,2017,1,2356668,1939743,174631,1016859,1013195,825670,812770,453285,566758,580375,673022,675183,632641,615969,552495
금천구,2017,2,2243795,1852015,138472,918876,945982,780483,796719,515281,585598,592139,598641,583753,601756,573369,560594
금천구,2017,3,2679152,2233194,208234,1102129,1085041,915558,951796,649597,701102,699449,708469,716965,736956,686882,662549
금천구,2017,4,2751943,2256508,171959,1050980,1144554,965760,1015433,659784,700990,718908,699192,703769,749409,751078,685098
금천구,2018,1,2724224,2223706,178943,1083792,1103944,927340,991727,662177,706712,707288,719995,691895,724354,712251,685438
금천구,2018,2,3035805,2515550,170148,1208082,1237941,1023803,1117770,793623,789203,779481,785992,789214,817561,809682,780214
금천구,2018,3,3013422,2505402,176075,1226130,1223515,1018138,1093385,781611,783854,786004,785106,785904,817620,800132,760226
금천구,2018,4,2798239,2299838,135398,1101358,1124519,912145,1035457,789178,727095,710246,718399,712736,750148,758280,721169
금천구,2019,1,8483258,8614821,1853654,2477669,2970798,2705118,2918437,4172405,2450197,2445344,2438732,2430674,2433897,2434573,2464670
금천구,2019,2,8092414,8283411,1723098,2377641,2900088,2619504,2808141,3947365,2352894,2338938,2345894,2344281,2338630,2305237,2349953
금천구,2019,3,7967926,8106232,1692095,2391867,2866799,2547624,2721353,3854412,2307376,2307580,2308099,2301245,2278810,2267634,2303427
금천구,2019,4,8319889,8465300,1789349,2450899,2981850,2677740,2818043,4067315,2418674,2401711,2402439,2390208,2375028,2374908,2422226
노원구,2015,1,2230410,2523522,377402,808217,955414,1134577,984155,494170,822064,811857,717033,684700,630589,573716,513993
노원구,2015,2,2279815,2620670,394925,798213,992435,1184759,1026095,504068,732451,719996,743895,753133,815352,659112,476567
노원구,2015,3,2292695,2667835,400885,790886,918838,1208223,1095088,546625,751470,759037,749033,774300,813116,638456,475146
노원구,2015,4,2145439,2577338,415450,746434,857509,1144235,1043969,515183,722452,729256,714108,722333,746956,624053,463625
노원구,2016,1,1854657,2251768,320834,662314,733126,975023,913575,501553,625288,602909,625878,630317,678779,547771,395494
노원구,2016,2,1609637,2018289,273866,494574,618950,871109,836764,532672,536934,481501,555548,640469,584927,475866,352692
노원구,2016,3,2066511,2707027,431806,709762,833877,1135489,1041610,620988,738328,749786,723514,718642,763016,621829,458435
노원구,2016,4,1777617,2368287,409549,603237,711816,987256,889025,545022,620492,627363,630552,629087,677703,559798,400949
노원구,2017,1,2801115,2978668,657128,1701939,970406,920099,930964,599278,763298,764205,827033,837619,841580,903633,842423
노원구,2017,2,2864183,3112261,589182,1731326,1012711,967148,974489,701595,786559,813994,814857,831164,875663,948855,905355
