시군구코드,시군구명,상권코드
11650,서초구,1000861
11650,서초구,1000862
11650,서초구,1000863
11650,서초구,1000864
11650,서초구,1000865
11650,서초구,1000866
11650,서초구,1000867
11650,서초구,1000868
11650,서초구,1000869
11650,서초구,1000870
11650,서초구,1000871
11650,서초구,1000872
11650,서초구,1000873
11650,서초구,1000874
11650,서초구,1000875
11650,서초구,1000876
11650,서초구,1000877
11650,서초구,1000878
11650,서초구,1000879
11650,서초구,1000880
11650,서초구,1000881
11650,서초구,1000882
11650,서초구,1000883
11650,서초구,1000884
11650,서초구,1000885
11680,강남구,1000886
11680,강남구,1000887
11680,강남구,1000888
11680,강남구,1000889
11680,강남구,1000890
11680,강남구,1000891
11680,강남구,1000892
11680,강남구,1000893
11680,강남구,1000894
11680,강남구,1000895
11680,강남구,1000896
11680,강남구,1000897
11680,강남구,1000898
11680,강남구,1000899
11680,강남구,1000900
11680,강남구,1000901
11680,강남구,1000902
11680,강남구,1000903
11680,강남구,1000904
11680,강남구,1000905
11680,강남구,1000906
11680,강남구,1000907
11680,강남구,1000908
11680,강남구,1000909
11680,강남구,1000910
11680,강남구,1000911
11680,강남구,1000912
11680,강남구,1000913
11680,강남구,1000914
11680,강남구,1000915
11680,강남구,1000916
11680,강남구,1000917
11680,강남구,1000918
11680,강남구,1000919
11680,강남구,1000920
11680,강남구,1000921
11680,강남구,1000922
11680,강남구,1000923
11680,강남구,1000924
11680,강남구,1000925
11680,강남구,1000926
11680,강남구,1000927
11680,강남구,1000928
11680,강남구,1000929
11680,강남구,1000930
11680,강남구,1000931
11680,강남구,1000932
11680,강남구,1000933
11680,강남구,1000934
11680,강남구,1000935
11680,강남구,1000936
11680,강남구,1000937
11680,강남구,1000938
11680,강남구,1000939
11710,송파구,1000940
11710,송파구,1000941
11710,송파구,1000942
11710,송파구,1000943
11710,송파구,1000944
11710,송파구,1000945
11710,송파구,1000946
11710,송파구,1000947
11710,송파구,1000948
11710,송파구,1000949
11710,송파구,1000950
11710,송파구,1000951
11710,송파구,1000952
11710,송파구,1000953
11710,송파구,1000954
11710,송파구,1000955
11710,송파구,1000956
11710,송파구,1000957
11710,송파구,1000958
11710,송파구,1000959
11710,송파구,1000960
11710,송파구,1000961
11710,송파구,1000962
11710,송파구,1000963
11710,송파구,1000964
11710,송파구,1000965
11710,송파구,1000966
11740,강동구,1000967
11740,강동구,1000968
11740,강동구,1000969
11740,강동구,1000970
11740,강동구,1000971
11740,강동구,1000972
11740,강동구,1000973
11740,강동구,1000974
11740,강동구,1000975
11740,강동구,1000976
11740,강동구,1000977
11740,강동구,1000978
11740,강동구,1000979
11740,강동구,1000980
11740,강동구,1000981
11740,강동구,1000982
11740,강동구,1000983
11740,강동구,1000984
11740,강동구,1000985
11740,강동구,1000986
11740,강동구,1000987
11740,강동구,1000988
11740,강동구,1000989
11740,강동구,1000990
11740,강동구,1000991
11740,강동구,1000992
11740,강동구,1000993
11740,강동구,1000994
11740,강동구,1000995
11740,강동구,1000996
11740,강동구,1000997
11740,강동구,1000998
11740,강동구,1000999
11740,강동구,1001000
11740,강동구,1001001
11740,강동구,1001002
11740,강동구,1001003
11740,강동구,1001004
11740,강동구,1001005
11740,강동구,1001006
11740,강동구,1001007
11740,강동구,1001008
11740,강동구,1001009
11740,강동구,1001010
11545,금천구,1001011
11650,서초구,1001012
11650,서초구,1001013
11650,서초구,1001014
11545,금천구,1001015
11620,관악구,1001016
11620,관악구,1001017
11650,서초구,1001018
11680,강남구,1001019
11710,송파구,1001020
11545,금천구,1001021
11590,동작구,1001022
11545,금천구,1001023
11650,서초구,1001024
11620,관악구,1001025
11530,구로구,1001026
11545,금천구,1001027
11620,관악구,1001028
11650,서초구,1001029
11650,서초구,1001030
11620,관악구,1001031
11620,관악구,1001032
11650,서초구,1001033
11650,서초구,1001034
11680,강남구,1001035
11710,송파구,1001036
11680,강남구,1001037
11530,구로구,1001038
11650,서초구,1001039
11620,관악구,1001040
11680,강남구,1001041
11650,서초구,1001042
11650,서초구,1001043
11650,서초구,1001044
11590,동작구,1001045
11620,관악구,1001046
11680,강남구,1001047
11650,서초구,1001048
11530,구로구,1001049
11650,서초구,1001050
11590,동작구,1001051
11680,강남구,1001052
11680,강남구,1001053
11680,강남구,1001054
11650,서초구,1001055
11710,송파구,1001056
11650,서초구,1001057
11680,강남구,1001058
11650,서초구,1001059
11710,송파구,1001060
11650,서초구,1001061
11650,서초구,1001062
11650,서초구,1001063
11530,구로구,1001064
11680,강남구,1001065
11680,강남구,1001066
11530,구로구,1001067
11680,강남구,1001068
11680,강남구,1001069
11680,강남구,1001070
11680,강남구,1001071
11590,동작구,1001072
11680,강남구,1001073
11530,구로구,1001074
11680,강남구,1001075
11530,구로구,1001076
11680,강남구,1001077
11650,서초구,1001078
11710,송파구,1001079
11710,송파구,1001080
11680,강남구,1001081
11680,강남구,1001082
11710,송파구,1001083
11680,강남구,1001084
11680,강남구,1001085
11650,서초구,1001086
11680,강남구,1001087
11680,강남구,1001088
11680,강남구,1001089
11680,강남구,1001090
11680,강남구,1001091
11650,서초구,1001092
11710,송파구,1001093
11680,강남구,1001094
11680,강남구,1001095
11530,구로구,1001096
11710,송파구,1001097
11680,강남구,1001098
11680,강남구,1001099
11680,강남구,1001100
11680,강남구,1001101
11680,강남구,1001102
11680,강남구,1001103
11680,강남구,1001104
11590,동작구,1001105
11680,강남구,1001106
11710,송파구,1001107
11680,강남구,1001108
11650,서초구,1001109
11710,송파구,1001110
11680,강남구,1001111
11680,강남구,1001112
11590,동작구,1001113
11650,서초구,1001114
11680,강남구,1001115
11560,영등포구,1001116
11680,강남구,1001117
11560,영등포구,1001118
11560,영등포구,1001119
11680,강남구,1001120
11560,영등포구,1001121
11560,영등포구,1001122
11680,강남구,1001123
11560,영등포구,1001124
11680,강남구,1001125
11470,양천구,1001126
11560,영등포구,1001127
11680,강남구,1001128
11680,강남구,1001129
11680,강남구,1001130
11680,강남구,1001131
11560,영등포구,1001132
11680,강남구,1001133
11560,영등포구,1001134
11680,강남구,1001135
11470,양천구,1001136
11740,강동구,1001137
11680,강남구,1001138
11560,영등포구,1001139
11680,강남구,1001140
11680,강남구,1001141
11560,영등포구,1001142
11170,용산구,1001143
11560,영등포구,1001144
11170,용산구,1001145
11170,용산구,1001146
11170,용산구,1001147
11470,양천구,1001148
11170,용산구,1001149
11170,용산구,1001150
11170,용산구,1001151
11215,광진구,1001152
11560,영등포구,1001153
11170,용산구,1001154
11170,용산구,1001155
11740,강동구,1001156
11740,강동구,1001157
11560,영등포구,1001158
11710,송파구,1001159
11215,광진구,1001160
11215,광진구,1001161
11215,광진구,1001162
11740,강동구,1001163
11440,마포구,1001164
11215,광진구,1001165
11440,마포구,1001166
11440,마포구,1001167
11170,용산구,1001168
11170,용산구,1001169
11440,마포구,1001170
11440,마포구,1001171
11215,광진구,1001172
11740,강동구,1001173
11470,양천구,1001174
11740,강동구,1001175
11140,중구,1001176
11140,중구,1001177
11440,마포구,1001178
11500,강서구,1001179
11440,마포구,1001180
11215,광진구,1001181
11440,마포구,1001182
11440,마포구,1001183
11440,마포구,1001184
11410,서대문구,1001185
11410,서대문구,1001186
11200,성동구,1001187
11140,중구,1001188
11140,중구,1001189
11200,성동구,1001190
11200,성동구,1001191
11140,중구,1001192
11230,동대문구,1001193
11500,강서구,1001194
11200,성동구,1001195
11140,중구,1001196
11230,동대문구,1001197
11500,강서구,1001198
11140,중구,1001199
11140,중구,1001200
11140,중구,1001201
11140,중구,1001202
11140,중구,1001203
11140,중구,1001204
11140,중구,1001205
11410,서대문구,1001206
11140,중구,1001207
11140,중구,1001208
11140,중구,1001209
11140,중구,1001210
11140,중구,1001211
11110,종로구,1001212
11110,종로구,1001213
11110,종로구,1001214
11110,종로구,1001215
11110,종로구,1001216
11110,종로구,1001217
11110,종로구,1001218
11110,종로구,1001219
11110,종로구,1001220
11230,동대문구,1001221
11110,종로구,1001222
11110,종로구,1001223
11230,동대문구,1001224
11110,종로구,1001225
11110,종로구,1001226
11110,종로구,1001227
11110,종로구,1001228
11110,종로구,1001229
11110,종로구,1001230
11230,동대문구,1001231
11110,종로구,1001232
11110,종로구,1001233
11110,종로구,1001234
11110,종로구,1001235
11110,종로구,1001236
11110,종로구,1001237
