기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,당월매출금액,당월매출건수,주중매출비율,주말매출비율,월요일매출비율,화요일매출비율,수요일매출비율,목요일매출비율,금요일매출비율,토요일매출비율,일요일매출비율,시간대00~06매출비율,시간대06~11매출비율,시간대11~14매출비율,시간대14~17매출비율,시간대17~21매출비율,시간대21~24매출비율,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대건수~06매출건수,시간대건수~11매출건수,시간대건수~14매출건수,시간대건수~17매출건수,시간대건수~21매출건수,시간대건수~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2015,2,A,골목상권,1000331,삼양로41길,CS100010,커피-음료,61758968,6796,60,40,13,12,12,11,13,19,22,0,4,17,25,36,18,40,60,6,34,26,24,8,3,35568862,26190106,7573557,6893042,7284983,6055937,7761343,12512656,13677450,88917,2045634,9482448,14877868,22819731,12444370,25625341,33529647,3142859,16837025,14880047,17494919,5084771,1715366,4064,2732,863,822,808,709,862,1275,1457,11,282,1174,1668,2441,1220,2655,3937,372,2259,1708,1588,494,170,1
2015,2,A,골목상권,1000324,도봉로76길,CS100010,커피-음료,130560386,21000,81,19,16,15,17,19,15,10,9,1,6,32,26,25,11,37,63,5,45,21,18,9,2,113139651,17420735,22638080,20411617,23337227,23475715,23277012,10961214,6459521,58624,4846511,55556686,35198631,30466588,4433346,32679060,90164721,8758094,59067002,25943265,16624882,10593816,1856727,18214,2786,3621,3299,3938,4127,3229,1728,1058,28,935,8202,6080,4908,847,4789,15840,1863,11222,3169,2407,1718,252,5
2015,2,A,골목상권,1000835,청림3길,CS100010,커피-음료,51975127,8001,75,25,14,16,15,15,16,16,10,0,11,31,27,26,6,35,65,2,28,41,22,5,2,38199773,13775354,7119565,7710142,7956207,7507900,7905959,8689327,5086027,0,4660286,15713094,14381298,13505952,3714497,18794826,33180301,784084,12807911,20784746,13594601,2918106,1085679,5913,2088,1127,1235,1185,1169,1197,1403,685,0,783,2372,2307,2041,498,2814,5187,166,2289,3344,1730,324,148,3
2015,2,A,골목상권,1000815,신림동길,CS100010,커피-음료,114445421,20808,61,39,14,12,12,10,14,20,19,1,1,18,26,34,21,53,48,1,55,33,8,3,1,68679385,45766036,15258443,13440069,13150218,10842599,15988056,22102515,23663521,668914,1654311,20665957,27398498,38085971,25971770,55806499,58638922,415846,60730643,41359769,7364019,3664172,910972,12547,8261,2858,2432,2392,2021,2844,4052,4209,115,390,3646,5233,6892,4532,10364,10444,81,11205,7429,1324,598,171,8
2015,2,A,골목상권,1000774,여의대방로46길,CS100010,커피-음료,224048710,39081,74,26,13,15,15,15,16,17,9,0,18,30,24,20,9,36,64,1,29,30,27,10,4,161945292,62103418,29636429,32283091,32916090,33275233,33834449,38623559,23479859,0,49418133,71940908,52797556,38470965,11421148,73350526,133387957,1396083,56887096,67160889,55273338,19381957,6639125,28425,10656,5248,5470,5761,5884,6062,6468,4188,0,10048,11910,8723,6732,1668,12778,24380,286,11811,12065,8919,3186,893,3
2015,2,D,발달상권,1001142,국회의사당역_1,CS100010,커피-음료,687770299,66677,86,14,15,17,18,17,20,9,5,0,14,40,25,18,3,49,51,1,32,37,21,8,2,596016907,91753392,101586784,113475510,123264336,121092523,136597754,56801378,34952014,25669,66570821,304954302,161192824,132838312,22188371,258555348,244251276,2521469,142687791,191642280,110020428,44726890,11207764,57187,9490,9923,11100,11972,11124,13068,5831,3659,2,9336,26308,16858,12197,1976,26560,27711,338,17544,19988,11086,4279,1037,8
2015,2,A,골목상권,1000701,도림로63길,CS100010,커피-음료,1509474,181,71,29,15,8,13,6,29,8,21,7,0,5,41,37,10,40,60,2,34,27,15,22,0,908992,600482,442328,17234,43085,68935,337410,320560,279922,342900,0,71807,252973,519632,322162,747259,627219,31595,231768,414707,272873,423536,0,115,66,41,6,12,12,44,27,39,25,0,6,55,62,33,80,84,6,41,42,29,44,0,2
2015,2,D,발달상권,1001224,서울 동대문구 신설동역_1,CS100010,커피-음료,68869215,8757,80,20,16,17,14,18,16,10,10,0,10,33,31,25,1,52,48,0,23,27,14,20,16,57335723,11533492,10539744,9585575,11016068,13655101,12539235,5486685,6046807,0,5433891,32088395,18139797,12458531,748601,28652895,32086080,224472,13535996,21902019,10831305,10022446,4222743,7718,1039,1383,1388,1515,1785,1647,684,355,0,1020,4381,2201,1101,54,3214,4818,47,2385,3060,1365,837,347,5
2015,2,A,골목상권,1000855,동광로39길,CS100010,커피-음료,279743167,16976,55,45,16,10,8,9,12,23,22,0,1,34,35,26,4,35,65,1,37,30,20,8,3,121642182,158100985,28974386,25576281,14966442,19765174,32359899,75051232,83049753,0,848286,77178892,109181351,81138610,11396028,90432449,168791729,4768328,105458192,65097375,49130927,25221882,9547475,8007,8969,1890,1596,933,1398,2190,4209,4760,0,101,5364,6692,4291,528,5828,10444,301,7029,4344,2674,1535,391,3
2015,2,D,발달상권,1001101,선정릉역_2,CS100010,커피-음료,993000007,123540,88,12,16,17,19,19,18,7,5,0,11,41,25,18,5,45,55,2,31,37,20,7,3,868411507,124588500,153558472,159383744,197274533,183154318,175040440,72542179,52046321,2236596,138676988,388404147,232598169,160951720,70132387,352690942,403610222,14558060,200978094,304931984,157135038,58740521,19957490,109516,14024,20249,21292,23259,23083,21633,8370,5654,197,26937,44173,29765,18096,4372,46999,60751,2957,35378,41568,18587,7075,2206,20
