기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
2015,3,A,골목상권,1000884,방배중앙로21길,CS100010,커피-음료,3,4,25,1,0,0,1
2015,3,D,발달상권,1001012,양재 화물트럭터미널앞_1,CS100010,커피-음료,3,5,0,0,0,0,2
2015,3,D,발달상권,1001244,경희대학교,CS100010,커피-음료,16,20,5,1,5,1,4
2015,3,D,발달상권,1001150,서울 용산구 이태원역,CS100010,커피-음료,10,18,6,1,0,0,8
2015,3,A,골목상권,1000136,긴고랑로9길,CS100010,커피-음료,5,6,0,0,0,0,1
2015,3,A,골목상권,1000279,삼선교로10다길,CS100010,커피-음료,4,4,0,0,0,0,0
2015,3,D,발달상권,1001088,삼성역_1,CS100010,커피-음료,16,29,7,2,0,0,13
2015,3,A,골목상권,1000866,사평대로22길,CS100010,커피-음료,11,13,8,1,15,2,2
2015,3,A,골목상권,1000543,중앙로32길,CS100010,커피-음료,7,10,0,0,10,1,3
2015,3,A,골목상권,1000082,한강대로7길,CS100010,커피-음료,4,4,50,2,0,0,0
2015,3,A,골목상권,1000886,강남대로118길,CS100010,커피-음료,6,7,14,1,0,0,1
2015,3,A,골목상권,1000907,도산대로30길,CS100010,커피-음료,6,9,0,0,11,1,3
2015,3,A,골목상권,1000065,원효로19길,CS100010,커피-음료,3,5,0,0,20,1,2
2015,3,A,골목상권,1000201,장한로5길,CS100010,커피-음료,4,5,20,1,60,3,1
2015,3,D,발달상권,1001195,왕십리역_2,CS100010,커피-음료,3,5,20,1,0,0,2
2015,3,A,골목상권,1000358,도당로29길,CS100010,커피-음료,2,4,25,1,0,0,2
2015,3,A,골목상권,1000580,공항대로8길,CS100010,커피-음료,4,5,20,1,20,1,1
2015,3,A,골목상권,1000019,종로65길,CS100010,커피-음료,2,4,25,1,0,0,2
2015,3,A,골목상권,1000614,개봉로23가길,CS100010,커피-음료,5,7,14,1,0,0,2
2015,3,D,발달상권,1001198,서울 강서구 송정역,CS100010,커피-음료,6,8,0,0,13,1,2
2015,3,A,골목상권,1000196,장한로25길,CS100010,커피-음료,7,8,0,0,0,0,1
2015,3,A,골목상권,1000799,남부순환로234길,CS100010,커피-음료,3,3,33,1,0,0,0
2015,3,D,발달상권,1001209,서울시청,CS100010,커피-음료,17,29,3,1,0,0,12
2015,3,A,골목상권,1000057,백범로79길,CS100010,커피-음료,4,4,0,0,0,0,0
2015,3,A,골목상권,1000130,광나루로37길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,D,발달상권,1001157,서울 강동구 천호역_1,CS100010,커피-음료,5,9,11,1,11,1,4
2015,3,A,골목상권,1000826,인헌길,CS100010,커피-음료,1,1,100,1,0,0,0
2015,3,A,골목상권,1000487,숭문길,CS100010,커피-음료,6,6,0,0,0,0,0
2015,3,A,골목상권,1000330,삼양로27길,CS100010,커피-음료,1,4,50,2,0,0,3
2015,3,A,골목상권,1000334,삼양로93길,CS100010,커피-음료,2,3,33,1,33,1,1
2015,3,A,골목상권,1000393,갈현로7길,CS100010,커피-음료,4,4,0,0,0,0,0
2015,3,A,골목상권,1001003,천호대로162길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000401,연서로16길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000989,양재대로133길,CS100010,커피-음료,3,3,0,0,0,0,0
2015,3,A,골목상권,1000226,공릉로2길,CS100010,커피-음료,1,6,17,1,0,0,5
2015,3,A,골목상권,1000713,선유서로28길,CS100010,커피-음료,3,4,0,0,0,0,1
2015,3,A,골목상권,1000288,오패산로4길,CS100010,커피-음료,9,9,11,1,0,0,0
2015,3,A,골목상권,1000676,시흥대로22길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000475,망원로11길,CS100010,커피-음료,3,4,25,1,0,0,1
2015,3,A,골목상권,1000620,경인로47길,CS100010,커피-음료,5,8,0,0,13,1,3
2015,3,U,관광특구,1001496,강남 마이스 관광특구,CS100010,커피-음료,17,35,3,1,9,3,18
2015,3,D,발달상권,1001103,코엑스,CS100010,커피-음료,17,35,3,1,9,3,18
2015,3,A,골목상권,1000203,전농로29길,CS100010,커피-음료,1,2,0,0,0,0,1
2015,3,A,골목상권,1000595,양천로49길,CS100010,커피-음료,2,4,25,1,0,0,2
2015,3,D,발달상권,1001022,관악구 사당역_2,CS100010,커피-음료,13,16,0,0,0,0,3
2015,3,R,전통시장,1001336,우림골목시장,CS100010,커피-음료,2,2,50,1,0,0,0
2015,3,A,골목상권,1000881,효령로31길,CS100010,커피-음료,5,5,20,1,0,0,0
2015,3,R,전통시장,1001299,한아름시장,CS100010,커피-음료,1,2,0,0,0,0,1
2015,3,A,골목상권,1000485,성지3길,CS100010,커피-음료,3,3,0,0,33,1,0
2015,3,R,전통시장,1001474,도곡시장,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,A,골목상권,1000873,서초대로64길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,D,발달상권,1001231,서울 동대문구 신설동역_2,CS100010,커피-음료,12,13,0,0,8,1,1
2015,3,A,골목상권,1000672,시흥대로138길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,A,골목상권,1000740,동작대로29길,CS100010,커피-음료,1,2,0,0,0,0,1
2015,3,D,발달상권,1001142,국회의사당역_1,CS100010,커피-음료,6,8,0,0,0,0,2
2015,3,D,발달상권,1001258,등나무근린공원 주변,CS100010,커피-음료,4,6,33,2,17,1,2
2015,3,A,골목상권,1000372,방학로6가길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000181,망우로21길,CS100010,커피-음료,2,3,0,0,0,0,1
2015,3,D,발달상권,1001083,서울 송파구 석촌역_2,CS100010,커피-음료,1,2,0,0,0,0,1
2015,3,A,골목상권,1000883,효령로72길,CS100010,커피-음료,4,4,0,0,0,0,0
2015,3,R,전통시장,1001484,양지골목시장,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,D,발달상권,1001129,청담사거리_2,CS100010,커피-음료,4,5,0,0,0,0,1
2015,3,A,골목상권,1000909,도산대로50길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,R,전통시장,1001349,방천골목시장,CS100010,커피-음료,0,0,0,0,0,1,0
2015,3,R,전통시장,1001352,번동북부골목시장,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,R,전통시장,1001355,강북종합시장,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,A,골목상권,1000348,한천로130길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000363,도봉로152가길,CS100010,커피-음료,4,4,0,0,0,0,0
2015,3,A,골목상권,1000347,한천로124나길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,A,골목상권,1000374,시루봉로23길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000285,안암로5길,CS100010,커피-음료,3,4,0,0,0,0,1
2015,3,A,골목상권,1000270,동소문로26가길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,A,골목상권,1000034,동호로10길,CS100010,커피-음료,6,6,0,0,0,0,0
2015,3,R,전통시장,1001309,조양시장,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000138,능동로19길,CS100010,커피-음료,8,11,0,0,0,0,3
2015,3,A,골목상권,1000621,고척로21나길,CS100010,커피-음료,3,3,0,0,0,0,0
2015,3,R,전통시장,1001270,창신골목시장,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,R,전통시장,1001325,청량리청과물시장,CS100010,커피-음료,3,3,0,0,0,0,0
2015,3,A,골목상권,1000198,장한로26길,CS100010,커피-음료,1,2,0,0,50,1,1
2015,3,A,골목상권,1000223,겸재로36길,CS100010,커피-음료,1,1,0,0,100,1,0
2015,3,R,전통시장,1001335,묵1동도깨비시장,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,A,골목상권,1000207,제기로5길,CS100010,커피-음료,5,5,0,0,0,0,0
2015,3,A,골목상권,1000254,사가정로54길,CS100010,커피-음료,3,3,0,0,0,0,0
2015,3,A,골목상권,1000253,사가정로42길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000191,왕산로32길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,R,전통시장,1001311,동부청과시장,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000032,다산로38길,CS100010,커피-음료,5,6,0,0,0,0,1
2015,3,A,골목상권,1000040,삼일대로4길,CS100010,커피-음료,7,10,0,0,0,0,3
2015,3,A,골목상권,1000033,다산로39길,CS100010,커피-음료,2,4,0,0,0,0,2
2015,3,A,골목상권,1000090,금호산길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000858,방배천로4안길,CS100010,커피-음료,8,9,11,1,0,0,1
2015,3,A,골목상권,1000680,시흥대로68길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,A,골목상권,1000647,부일로1길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000577,공항대로59길,CS100010,커피-음료,5,6,0,0,0,0,1
2015,3,A,골목상권,1000932,영동대로65길,CS100010,커피-음료,6,8,0,0,0,0,2
2015,3,R,전통시장,1001444,상도전통시장,CS100010,커피-음료,5,5,20,1,0,0,0
2015,3,R,전통시장,1001463,신림중앙시장,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000794,난향길,CS100010,커피-음료,0,1,0,0,0,0,1
2015,3,A,골목상권,1000662,독산로50길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,R,전통시장,1001429,은행나무시장,CS100010,커피-음료,1,2,0,0,0,0,1
2015,3,A,골목상권,1000825,은천로25길,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,R,전통시장,1001454,봉천제일종합시장,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,A,골목상권,1000508,곰달래로10길,CS100010,커피-음료,2,3,0,0,0,0,1
2015,3,A,골목상권,1000528,목동중앙북로8길,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,A,골목상권,1000525,목동중앙로3길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,D,발달상권,1001126,서울 양천구 신정네거리역_2,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,A,골목상권,1000611,개봉로17다길,CS100010,커피-음료,0,1,0,0,0,0,1
2015,3,A,골목상권,1000466,동교로17길,CS100010,커피-음료,7,7,0,0,0,0,0
2015,3,R,전통시장,1001378,아현가구거리상점가,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000404,연서로27길,CS100010,커피-음료,3,4,0,0,0,0,1
2015,3,A,골목상권,1000416,은평로8길,CS100010,커피-음료,3,3,0,0,0,0,0
2015,3,A,골목상권,1000436,독립문로8길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000440,세검정로1길,CS100010,커피-음료,6,6,0,0,0,0,0
2015,3,R,전통시장,1001376,수일시장,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000586,등촌로51길,CS100010,커피-음료,0,2,0,0,0,0,2
2015,3,A,골목상권,1000583,남부순환로11길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,A,골목상권,1000602,초원로16길,CS100010,커피-음료,0,0,0,0,0,0,0
2015,3,A,골목상권,1000738,대방동2길,CS100010,커피-음료,2,3,0,0,0,0,1
2015,3,A,골목상권,1000722,여의대방로35길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,A,골목상권,1000772,여의대방로22카길,CS100010,커피-음료,4,5,0,0,0,0,1
2015,3,A,골목상권,1000778,흑석로13길,CS100010,커피-음료,3,3,0,0,0,0,0
2015,3,A,골목상권,1000709,디지털로74길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,A,골목상권,1000690,당산로38길,CS100010,커피-음료,5,6,0,0,0,0,1
2015,3,D,발달상권,1001143,서울 용산구 신용산역,CS100010,커피-음료,5,9,0,0,0,0,4
2015,3,A,골목상권,1000004,명륜길,CS100010,커피-음료,4,6,0,0,0,0,2
2015,3,D,발달상권,1001183,서울 마포구 홍대입구역_2,CS100010,커피-음료,11,14,0,0,7,1,3
2015,3,A,골목상권,1000366,도봉로181길,CS100010,커피-음료,1,2,0,0,0,0,1
2015,3,A,골목상권,1000208,천장산로7길,CS100010,커피-음료,4,10,10,1,10,1,6
2015,3,A,골목상권,1000452,충정로6길,CS100010,커피-음료,9,13,15,2,0,0,4
2015,3,D,발달상권,1001186,서울 서대문구 이대역,CS100010,커피-음료,56,77,5,4,5,4,21
2015,3,D,발달상권,1001057,교대역_2,CS100010,커피-음료,15,23,9,2,4,1,8
2015,3,A,골목상권,1000369,방학로10길,CS100010,커피-음료,1,1,0,0,0,0,0
2015,3,R,전통시장,1001273,남대문시장,CS100010,커피-음료,34,40,5,2,5,2,6
2015,3,D,발달상권,1001230,인사동,CS100010,커피-음료,45,50,4,2,8,4,5
2015,3,A,골목상권,1000978,상암로14길,CS100010,커피-음료,3,4,0,0,0,0,1
2015,3,D,발달상권,1001204,서울 중구 을지로3가역_1,CS100010,커피-음료,32,36,11,4,3,1,4
2015,3,A,골목상권,1000935,테헤란로81길,CS100010,커피-음료,9,12,8,1,8,1,3
2015,3,A,골목상권,1000880,효령로23길,CS100010,커피-음료,2,2,50,1,0,0,0
2015,3,A,골목상권,1000255,신내로7가길,CS100010,커피-음료,2,2,0,0,0,0,0
2015,3,D,발달상권,1001133,청담사거리_3,CS100010,커피-음료,6,10,0,0,10,1,4
2015,3,D,발달상권,1001217,서울 종로구 종로5가역_1,CS100010,커피-음료,2,3,0,0,0,0,1
2015,3,A,골목상권,1000430,진흥로1길,CS100010,커피-음료,6,6,0,0,0,0,0
2015,3,A,골목상권,1000100,무학봉28길,CS100010,커피-음료,1,1,100,1,100,1,0
2015,3,D,발달상권,1001052,뱅뱅사거리_2,CS100010,커피-음료,26,35,11,4,3,1,9
