기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2015,4,A,골목상권,1001002,천중로51길,CS300002,편의점,0,5,0,0,0,0,5
2015,4,D,발달상권,1001130,청담역_1,CS300002,편의점,2,5,0,0,0,0,3
2015,4,A,골목상권,1000148,뚝섬로58길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,D,발달상권,1001046,서울 관악구 신림역_4,CS300002,편의점,2,13,15,2,8,1,11
2015,4,A,골목상권,1000872,서초대로4길,CS300002,편의점,1,5,0,0,0,0,4
2015,4,A,골목상권,1000184,사가정로13길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000008,북촌로5나길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000578,공항대로59다길,CS300002,편의점,0,2,0,0,50,1,2
2015,4,A,골목상권,1000946,백제고분로32길,CS300002,편의점,0,4,0,0,0,0,4
2015,4,D,발달상권,1001030,양재역_2,CS300002,편의점,0,6,0,0,0,0,6
2015,4,A,골목상권,1000925,선릉로132길,CS300002,편의점,1,5,0,0,0,0,4
2015,4,A,골목상권,1000813,서림7길,CS300002,편의점,1,3,0,0,0,0,2
2015,4,A,골목상권,1000680,시흥대로68길,CS300002,편의점,0,2,50,1,0,0,2
2015,4,A,골목상권,1000278,삼선교로10길,CS300002,편의점,0,2,50,1,50,1,2
2015,4,D,발달상권,1001219,서울 종로구 동대문역_1,CS300002,편의점,1,3,0,0,0,0,2
2015,4,A,골목상권,1000885,서초중앙로8길,CS300002,편의점,1,2,0,0,0,0,1
2015,4,A,골목상권,1000903,논현로8길,CS300002,편의점,0,4,0,0,0,0,4
2015,4,D,발달상권,1001019,포이사거리_1,CS300002,편의점,1,1,0,0,0,0,0
2015,4,D,발달상권,1001152,서울 광진구 강변역,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000980,상암로51길,CS300002,편의점,0,3,0,0,0,0,3
