기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,술집점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2016,2,A,골목상권,1000442,세무서길,CS100009,호프-간이주점,19,20,0,0,0,0,1
2016,2,A,골목상권,1000599,월정로20길,CS100009,호프-간이주점,11,12,0,0,0,0,1
2016,2,A,골목상권,1000331,삼양로41길,CS100009,호프-간이주점,12,13,8,1,8,1,1
2016,2,R,전통시장,1001419,가리봉시장,CS100009,호프-간이주점,10,10,10,1,10,1,0
2016,2,D,발달상권,1001257,서울 강북구 수유역_2,CS100009,호프-간이주점,98,115,3,3,7,8,17
2016,2,D,발달상권,1001254,서울 은평구 연신내역_2,CS100009,호프-간이주점,80,96,7,7,8,8,16
2016,2,A,골목상권,1000827,장군봉1길,CS100009,호프-간이주점,11,11,0,0,18,2,0
2016,2,A,골목상권,1000947,백제고분로33길,CS100009,호프-간이주점,10,11,9,1,0,0,1
2016,2,R,전통시장,1001355,강북종합시장,CS100009,호프-간이주점,8,8,0,0,13,1,0
2016,2,D,발달상권,1001164,서울 마포구 마포역_1,CS100009,호프-간이주점,27,29,10,3,10,3,2
2016,2,D,발달상권,1001162,서울 광진구 건대입구역_1,CS100009,호프-간이주점,9,11,9,1,0,0,2
2016,2,A,골목상권,1000057,백범로79길,CS100009,호프-간이주점,1,2,0,0,0,0,1
2016,2,A,골목상권,1000831,조원중앙로2길,CS100009,호프-간이주점,8,8,13,1,13,1,0
2016,2,A,골목상권,1000603,화곡로13길,CS100009,호프-간이주점,7,7,0,0,0,0,0
2016,2,A,골목상권,1000077,한강대로104길,CS100009,호프-간이주점,9,10,0,0,10,1,1
2016,2,D,발달상권,1001180,신촌역,CS100009,호프-간이주점,26,28,7,2,0,0,2
2016,2,A,골목상권,1000153,아차산로55길,CS100009,호프-간이주점,7,14,7,1,0,0,7
2016,2,A,골목상권,1000928,선릉로18길,CS100009,호프-간이주점,5,5,0,0,0,0,0
2016,2,A,골목상권,1000299,정릉로8길,CS100009,호프-간이주점,6,6,0,0,0,0,0
2016,2,D,발달상권,1001201,서울 중구 신당역_1,CS100009,호프-간이주점,27,27,4,1,0,0,0
2016,2,A,골목상권,1000504,월드컵로8길,CS100009,호프-간이주점,7,7,0,0,0,0,0
2016,2,A,골목상권,1000168,경희대로3길,CS100009,호프-간이주점,15,17,6,1,0,0,2
2016,2,A,골목상권,1000510,곰달래로3길,CS100009,호프-간이주점,14,15,0,0,0,0,1
2016,2,R,전통시장,1001332,사가정시장,CS100009,호프-간이주점,21,23,4,1,0,0,2
2016,2,A,골목상권,1000253,사가정로42길,CS100009,호프-간이주점,8,9,0,0,0,0,1
2016,2,D,발달상권,1001234,서울 종로구 경복궁역_1,CS100009,호프-간이주점,16,18,6,1,0,0,2
2016,2,A,골목상권,1000278,삼선교로10길,CS100009,호프-간이주점,14,17,0,0,0,0,3
2016,2,D,발달상권,1001067,오류동역,CS100009,호프-간이주점,27,31,3,1,0,0,4
2016,2,A,골목상권,1000757,상도로15길,CS100009,호프-간이주점,4,5,0,0,0,0,1
2016,2,D,발달상권,1001160,서울 광진구 구의역,CS100009,호프-간이주점,40,49,12,6,2,1,9
2016,2,A,골목상권,1000264,돌곶이로27길,CS100009,호프-간이주점,7,9,0,0,0,0,2
2016,2,A,골목상권,1000760,상도로61길,CS100009,호프-간이주점,15,19,0,0,0,0,4
2016,2,D,발달상권,1001241,혜화역 대학로_2,CS100009,호프-간이주점,11,12,8,1,25,3,1
2016,2,A,골목상권,1000127,광나루로12길,CS100009,호프-간이주점,12,14,0,0,0,0,2
2016,2,D,발달상권,1001240,혜화역 대학로_1,CS100009,호프-간이주점,18,23,0,0,9,2,5
2016,2,A,골목상권,1000030,다산로33길,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,A,골목상권,1000519,목동동로12길,CS100009,호프-간이주점,10,10,0,0,0,0,0
2016,2,R,전통시장,1001347,석관황금시장,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,A,골목상권,1000272,동소문로6길,CS100009,호프-간이주점,16,17,0,0,0,0,1
2016,2,R,전통시장,1001478,방이시장,CS100009,호프-간이주점,10,10,0,0,10,1,0
2016,2,D,발달상권,1001089,삼정역_1,CS100009,호프-간이주점,3,4,0,0,0,0,1
2016,2,A,골목상권,1000769,양녕로26길,CS100009,호프-간이주점,5,5,0,0,0,0,0
2016,2,A,골목상권,1000551,화곡로4길,CS100009,호프-간이주점,6,7,29,2,14,1,1
2016,2,A,골목상권,1000940,거마로20길,CS100009,호프-간이주점,14,14,14,2,14,2,0
2016,2,A,골목상권,1000478,모래내로7길,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,D,발달상권,1001019,포이사거리_1,CS100009,호프-간이주점,6,6,0,0,0,0,0
2016,2,A,골목상권,1000452,충정로6길,CS100009,호프-간이주점,10,11,0,0,0,0,1
2016,2,A,골목상권,1000999,진황도로27길,CS100009,호프-간이주점,10,10,0,0,0,0,0
2016,2,A,골목상권,1000210,천호대로17길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,R,전통시장,1001338,돈암제일시장,CS100009,호프-간이주점,6,6,0,0,0,0,0
2016,2,D,발달상권,1001205,동대문역사문화공원역,CS100009,호프-간이주점,22,25,4,1,0,0,3
2016,2,A,골목상권,1000492,양화로1길,CS100009,호프-간이주점,18,20,0,0,5,1,2
2016,2,A,골목상권,1000144,뚝섬로23길,CS100009,호프-간이주점,8,11,0,0,9,1,3
2016,2,A,골목상권,1000415,은평로3길,CS100009,호프-간이주점,2,4,0,0,0,0,2
2016,2,D,발달상권,1001192,서울 중구 충무로역_1,CS100009,호프-간이주점,44,48,0,0,0,0,4
2016,2,A,골목상권,1000758,상도로37길,CS100009,호프-간이주점,7,7,0,0,0,0,0
2016,2,A,골목상권,1000058,백범로90길,CS100009,호프-간이주점,2,3,0,0,0,0,1
2016,2,A,골목상권,1000761,상도로62길,CS100009,호프-간이주점,10,12,8,1,0,0,2
2016,2,A,골목상권,1000956,송이로32길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,A,골목상권,1000366,도봉로181길,CS100009,호프-간이주점,15,17,12,2,12,2,2
2016,2,R,전통시장,1001363,쌍문역골목시장,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000575,공항대로42길,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,D,발달상권,1001063,교대역_4,CS100009,호프-간이주점,8,10,0,0,10,1,2
2016,2,D,발달상권,1001145,용산 전자상가_1,CS100009,호프-간이주점,0,0,0,0,0,0,0
2016,2,A,골목상권,1000849,남부순환로325길,CS100009,호프-간이주점,8,10,20,2,10,1,2
2016,2,R,전통시장,1001380,포방터시장,CS100009,호프-간이주점,1,2,0,0,50,1,1
2016,2,A,골목상권,1000139,능동로34길,CS100009,호프-간이주점,6,7,0,0,0,0,1
2016,2,A,골목상권,1000755,사당로30길,CS100009,호프-간이주점,13,14,7,1,7,1,1
2016,2,A,골목상권,1000937,학동로56길,CS100009,호프-간이주점,4,4,25,1,0,0,0
2016,2,A,골목상권,1000216,한천로40길,CS100009,호프-간이주점,2,3,0,0,0,0,1
2016,2,D,발달상권,1001174,등촌역,CS100009,호프-간이주점,14,15,13,2,20,3,1
2016,2,A,골목상권,1000955,송이로23길,CS100009,호프-간이주점,5,6,0,0,0,0,1
2016,2,A,골목상권,1000953,백제고분로50길,CS100009,호프-간이주점,13,15,0,0,0,0,2
2016,2,R,전통시장,1001385,아현시장,CS100009,호프-간이주점,6,8,0,0,0,0,2
2016,2,A,골목상권,1000324,도봉로76길,CS100009,호프-간이주점,9,11,9,1,18,2,2
2016,2,A,골목상권,1000194,이문로42길,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,D,발달상권,1001091,삼성역_2,CS100009,호프-간이주점,4,5,0,0,0,0,1
2016,2,A,골목상권,1000180,망우로18길,CS100009,호프-간이주점,2,6,17,1,17,1,4
2016,2,A,골목상권,1000661,독산로40길,CS100009,호프-간이주점,4,4,0,0,0,0,0
2016,2,D,발달상권,1001043,동작구 총신대입구역_2,CS100009,호프-간이주점,3,3,0,0,33,1,0
2016,2,A,골목상권,1000099,무학로6길,CS100009,호프-간이주점,16,16,6,1,0,0,0
2016,2,A,골목상권,1000533,신목로6길,CS100009,호프-간이주점,5,5,0,0,0,0,0
2016,2,A,골목상권,1000433,통일로87길,CS100009,호프-간이주점,12,12,8,1,8,1,0
2016,2,A,골목상권,1000957,송이로36길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000913,봉은사로29길,CS100009,호프-간이주점,4,4,25,1,0,0,0
2016,2,A,골목상권,1000048,퇴계로8길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2016,2,A,골목상권,1000973,구천면로42길,CS100009,호프-간이주점,7,7,0,0,0,0,0
2016,2,A,골목상권,1000104,상원길,CS100009,호프-간이주점,3,4,0,0,25,1,1
2016,2,A,골목상권,1000215,한천로33길,CS100009,호프-간이주점,2,2,50,1,50,1,0
2016,2,A,골목상권,1000027,필운대로1길,CS100009,호프-간이주점,1,1,100,1,0,0,0
2016,2,R,전통시장,1001306,노룬산골목시장,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,A,골목상권,1000273,보국문로16길,CS100009,호프-간이주점,9,10,0,0,0,0,1
2016,2,A,골목상권,1000952,백제고분로46길,CS100009,호프-간이주점,13,14,0,0,0,0,1
2016,2,D,발달상권,1001142,국회의사당역_1,CS100009,호프-간이주점,4,5,0,0,0,0,1
2016,2,A,골목상권,1000270,동소문로26가길,CS100009,호프-간이주점,4,4,25,1,0,0,0
2016,2,D,발달상권,1001097,잠실역 롯데월드,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000172,답십리로56길,CS100009,호프-간이주점,6,7,0,0,0,0,1
2016,2,D,발달상권,1001094,선정릉역_1,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000740,동작대로29길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,A,골목상권,1000364,도봉로156길,CS100009,호프-간이주점,9,9,0,0,22,2,0
2016,2,A,골목상권,1000089,금호산2길,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,A,골목상권,1000254,사가정로54길,CS100009,호프-간이주점,8,9,0,0,11,1,1
2016,2,R,전통시장,1001333,중화제일시장,CS100009,호프-간이주점,1,1,0,0,0,0,0
2016,2,D,발달상권,1001020,장지역,CS100009,호프-간이주점,0,0,0,0,0,1,0
2016,2,A,골목상권,1000933,일원로3길,CS100009,호프-간이주점,7,8,0,0,0,0,1
2016,2,R,전통시장,1001490,길동복조리시장,CS100009,호프-간이주점,3,3,0,0,0,0,0
2016,2,D,발달상권,1001175,서울 강동구 고덕역,CS100009,호프-간이주점,3,7,0,0,14,1,4
2016,2,A,골목상권,1000567,개화동로23길,CS100009,호프-간이주점,6,7,14,1,0,0,1
2016,2,A,골목상권,1000848,남부순환로317길,CS100009,호프-간이주점,2,2,0,0,0,0,0
